Name,Value
0r,196
0g,0
0b,0
1r,0
1g,0
1b,196
2r,0
2g,196
2b,196
3r,100
3g,240
3b,0
4r,150
4g,175
4b,150
5r,57
5g,170
5b,225
6r,255
6g,196
6b,0
7r,128
7g,0
7b,0
8r,0
8g,0
8b,100
9r,30
9g,77
9b,26
10r,128
10g,0
10b,64
11r,0
11g,255
11b,0
12r,196
12g,255
12b,128
13r,64
13g,64
13b,96
14r,0
14g,128
14b,57
15r,55
15g,100
15b,155
16r,0
16g,0
16b,0
17r,196
17g,0
17b,0
18r,0
18g,0
18b,0
19r,100
19g,240
19b,0
20r,0
20g,0
20b,0
21r,0
21g,0
21b,0
22r,0
22g,0
22b,0
23r,0
23g,0
23b,0
24r,0
24g,0
24b,0
25r,0
25g,0
25b,0
26r,0
26g,0
26b,0
27r,0
27g,0
27b,0
28r,0
28g,0
28b,0
29r,0
29g,0
29b,0
30r,0
30g,0
30b,0
31r,0
31g,0
31b,0
32r,0
32g,0
32b,0
33r,0
33g,0
33b,0
34r,0
34g,0
34b,0
35r,0
35g,0
35b,0
36r,0
36g,0
36b,0
37r,0
37g,0
37b,0
38r,0
38g,0
38b,0
39r,0
39g,0
39b,0
40r,0
40g,0
40b,0
41r,0
41g,0
41b,0
42r,0
42g,0
42b,0
43r,0
43g,0
43b,0
44r,0
44g,0
44b,0
45r,0
45g,0
45b,0
46r,0
46g,0
46b,0
47r,0
47g,0
47b,0
48r,0
48g,0
48b,0
49r,0
49g,0
49b,0
50r,0
50g,0
50b,0
51r,0
51g,0
51b,0
52r,0
52g,0
52b,0
53r,0
53g,0
53b,0
54r,0
54g,0
54b,0
55r,0
55g,0
55b,0
56r,0
56g,0
56b,0
57r,0
57g,0
57b,0
58r,0
58g,0
58b,0
59r,0
59g,0
59b,0
60r,0
60g,0
60b,0
61r,0
61g,0
61b,0
62r,0
62g,0
62b,0
63r,0
63g,0
63b,0
64r,0
64g,0
64b,0
65r,0
65g,0
65b,0
66r,0
66g,0
66b,0
67r,0
67g,0
67b,0
